iter	Passed	Remaining
831	2155	435
832	2157	432
833	2158	429
834	2160	426
835	2162	424
836	2164	421
837	2166	418
838	2168	416
839	2169	413
840	2171	410
841	2173	407
842	2175	405
843	2177	402
844	2179	399
845	2181	397
846	2183	394
847	2184	391
848	2186	388
849	2188	386
850	2190	383
851	2192	380
852	2194	378
853	2196	375
854	2197	372
855	2199	369
856	2200	367
857	2202	364
858	2204	361
859	2206	359
860	2207	356
861	2209	353
862	2211	351
863	2213	348
864	2214	345
865	2216	342
866	2217	340
867	2219	337
868	2221	334
869	2223	332
870	2225	329
871	2226	326
872	2228	324
873	2230	321
874	2231	318
875	2234	316
876	2235	313
877	2237	310
878	2239	308
879	2240	305
880	2242	302
881	2243	300
882	2245	297
883	2247	294
884	2249	292
885	2251	289
886	2252	287
887	2254	284
888	2256	281
889	2257	279
890	2259	276
891	2261	273
892	2263	271
893	2264	268
894	2266	265
895	2268	263
896	2269	260
897	2271	258
898	2273	255
899	2275	252
900	2277	250
901	2278	247
902	2280	244
903	2282	242
904	2283	239
905	2285	237
906	2287	234
907	2288	231
908	2290	229
909	2292	226
910	2293	224
911	2295	221
912	2297	218
913	2314	217
914	2316	215
915	2319	212
916	2321	210
917	2322	207
918	2324	204
919	2325	202
920	2328	199
921	2329	197
922	2331	194
923	2333	191
924	2334	189
925	2336	186
926	2338	184
927	2340	181
928	2342	179
929	2344	176
930	2346	173
931	2348	171
932	2350	168
933	2353	166
934	2354	163
935	2357	161
936	2358	158
937	2360	156
938	2362	153
939	2363	150
940	2365	148
941	2367	145
942	2368	143
943	2370	140
944	2371	138
945	2373	135
946	2375	132
947	2377	130
948	2379	127
949	2380	125
950	2382	122
951	2384	120
952	2385	117
953	2388	115
954	2390	112
955	2392	110
956	2393	107
957	2395	105
958	2397	102
959	2398	99
960	2400	97
961	2402	94
962	2403	92
963	2405	89
964	2407	87
965	2408	84
966	2410	82
967	2412	79
968	2413	77
969	2415	74
970	2417	72
971	2418	69
972	2420	67
973	2421	64
974	2423	62
975	2425	59
976	2427	57
977	2428	54
978	2430	52
979	2432	49
980	2434	47
981	2435	44
982	2437	42
983	2439	39
984	2440	37
985	2442	34
986	2444	32
987	2446	29
988	2448	27
989	2449	24
990	2451	22
991	2453	19
992	2454	17
993	2456	14
994	2458	12
995	2460	9
996	2462	7
997	2463	4
998	2465	2
999	2466	0
